,Channel Name:,Title:,Thumbnail:,Link:
0,Abstract,Abstract,https://yt3.ggpht.com/-OewnleeUvKE/AAAAAAAAAAI/AAAAAAAAAAA/yUA46_6YURI/s800-c-k-no-mo-rj-c0xffffff/photo.jpg,https://www.youtube.com/channel/UCwP3cAr798B69rULA_w_SdA
1,SwagyTracks,Abstract,https://i.ytimg.com/vi/fxeAVT__bY8/hqdefault.jpg,https://www.youtube.com/results?search_query=PL-xQeDCvRYXOFa_aFt-MI-zur5ZKOoNPc
2,Chill Nation,Abstract - Neverland (ft. Ruth B) (Prod. Blulake),https://i.ytimg.com/vi/28GpKacWLWI/hqdefault.jpg,https://www.youtube.com/watch?v=28GpKacWLWI
3,SwagyTracks,Abstract - I&#39;m Good (ft. RoZe) (Prod. Drumma Battalion),https://i.ytimg.com/vi/0vsnwUJjunU/hqdefault.jpg,https://www.youtube.com/watch?v=0vsnwUJjunU
4,SwagyTracks,Abstract - 22 (feat. Delaney) (Prod. Blulake),https://i.ytimg.com/vi/GU2PAYSDEMg/hqdefault.jpg,https://www.youtube.com/watch?v=GU2PAYSDEMg
5,HDMONA NEBARIT,HDMONA - ኣብስትራክት ብ ሳሙኤል ተኽለ Abstract by Samuel Tekle - New Eritrean Film 2020,https://i.ytimg.com/vi/qKbDKF_I3uw/hqdefault.jpg,https://www.youtube.com/watch?v=qKbDKF_I3uw
6,SwagyTracks,Abstract - Scars (ft. RoZe) (Prod. Drumma Battalion),https://i.ytimg.com/vi/SufAKh_bHsU/hqdefault.jpg,https://www.youtube.com/watch?v=SufAKh_bHsU
7,Abstract,Abstract feat. Aspen Dawn - Never Gonna Die (Official Music Video),https://i.ytimg.com/vi/m0vqClVYk1M/hqdefault.jpg,https://www.youtube.com/watch?v=m0vqClVYk1M
8,SwagyTracks,Abstract - I Do This (feat. Roze) (Prod. Drumma Battalion),https://i.ytimg.com/vi/fxeAVT__bY8/hqdefault.jpg,https://www.youtube.com/watch?v=fxeAVT__bY8
9,Netflix,Abstract: The Art of Design | Tinker Hatfield: Footwear Design | FULL EPISODE | Netflix,https://i.ytimg.com/vi/kaSvGVhtszo/hqdefault.jpg,https://www.youtube.com/watch?v=kaSvGVhtszo
10,SwagyTracks,Abstract - Neverland (ft. Ruth B) (Prod. Blulake),https://i.ytimg.com/vi/O81P0dWo6yg/hqdefault.jpg,https://www.youtube.com/watch?v=O81P0dWo6yg
11,SwagyTracks,Abstract - Radio (ft. RoZe) (Prod. Drumma Battalion),https://i.ytimg.com/vi/ga3etWQgK0s/hqdefault.jpg,https://www.youtube.com/watch?v=ga3etWQgK0s
12,Abstract,Abstract - I Don&#39;t Give Up (feat. Roze),https://i.ytimg.com/vi/kkg_R3FfD1M/hqdefault.jpg,https://www.youtube.com/watch?v=kkg_R3FfD1M
13,SurajFineArts - Abstract ART,Cat / Easy Abstract Painting Demo Using Masking Tape / Satisfying / Project 100 Days / Day #51,https://i.ytimg.com/vi/0rHt-w3sZtc/hqdefault.jpg,https://www.youtube.com/watch?v=0rHt-w3sZtc
14,SwagyTracks,Abstract - 666 (feat. Delaney),https://i.ytimg.com/vi/vUYhB4pXv7U/hqdefault.jpg,https://www.youtube.com/watch?v=vUYhB4pXv7U
15,Netflix,Abstract: The Art of Design | Christoph Niemann: Illustration | FULL EPISODE | Netflix,https://i.ytimg.com/vi/q_k8fVNzbGU/hqdefault.jpg,https://www.youtube.com/watch?v=q_k8fVNzbGU
16,John Rivers,Super Human - Abstract,https://i.ytimg.com/vi/w0Eae9X9bRs/hqdefault.jpg,https://www.youtube.com/results?search_query=PLT3Gu7BK217y2kKk7LJUKou7A_335i9oZ
17,Abstract,Abstract - Doc Holliday (Prod. by Dio Mudara),https://i.ytimg.com/vi/OMGZQ0qSEXI/hqdefault.jpg,https://www.youtube.com/watch?v=OMGZQ0qSEXI
18,Abstract,Abstract ft. Roze - Exposed (Official Music Video),https://i.ytimg.com/vi/6fa4cvLf7S0/hqdefault.jpg,https://www.youtube.com/watch?v=6fa4cvLf7S0
19,Abstract,Abstract - Not Alone (feat. Roze) Official Lyric Video,https://i.ytimg.com/vi/U178ciZB7gE/hqdefault.jpg,https://www.youtube.com/watch?v=U178ciZB7gE
20,Abstract,Abstract - Arrived (feat. Futuristic),https://i.ytimg.com/vi/3N4jJusTPjY/hqdefault.jpg,https://www.youtube.com/watch?v=3N4jJusTPjY
21,Big Yavo,Big Yavo - Abstract,https://i.ytimg.com/vi/oX5A3E1IG7M/hqdefault.jpg,https://www.youtube.com/watch?v=oX5A3E1IG7M
22,SwagyTracks,Abstract - Have A Nice Day (ft. RoZe) (Prod. Drumma Battalion),https://i.ytimg.com/vi/C9mbS-V3ad8/hqdefault.jpg,https://www.youtube.com/watch?v=C9mbS-V3ad8
23,SwagyTracks,Abstract - Nobody (ft. Roze) (Prod. Drumma Battalion),https://i.ytimg.com/vi/XoYM_wedOtA/hqdefault.jpg,https://www.youtube.com/watch?v=XoYM_wedOtA
24,SwagyTracks,Abstract - Still Woke (ft. RoZe) (Prod. Drumma Battalion),https://i.ytimg.com/vi/cEU1NV3efDo/hqdefault.jpg,https://www.youtube.com/watch?v=cEU1NV3efDo
25,SwagyTracks,Abstract - Doctor Strange (Prod. MLTM),https://i.ytimg.com/vi/WSA6Mydqq7c/hqdefault.jpg,https://www.youtube.com/watch?v=WSA6Mydqq7c
26,SwagyTracks,Abstract - I Wrote You A Letter (Prod. Blulake),https://i.ytimg.com/vi/LEQURHjNnFY/hqdefault.jpg,https://www.youtube.com/watch?v=LEQURHjNnFY
27,Lyrical!,Abstract - I Do This (feat. RoZe) (Prod. Drumma Battalion) Lyrics,https://i.ytimg.com/vi/S8exOAMjYzk/hqdefault.jpg,https://www.youtube.com/watch?v=S8exOAMjYzk
28,Abstract,Abstract - Kintsugi (feat. Tamzene),https://i.ytimg.com/vi/2R-RGISgiBM/hqdefault.jpg,https://www.youtube.com/watch?v=2R-RGISgiBM
29,Relaxation Time - 4K Amazing Relaxing Screensavers,Abstract Liquid! V - 2! 1 Hour 4K Relaxing Screensaver for Meditation. Amazing Fluid!,https://i.ytimg.com/vi/z1_X86D34Q0/hqdefault.jpg,https://www.youtube.com/watch?v=z1_X86D34Q0
30,SwagyTracks,Abstract - Exposed (ft. Roze) (Prod. Drumma Battalion),https://i.ytimg.com/vi/02JH9on5AoY/hqdefault.jpg,https://www.youtube.com/watch?v=02JH9on5AoY
31,SwagyTracks,Abstract - Ride With Me (ft. Ivan B &amp; Francine Kandjo) (Prod. Drumma Battalion),https://i.ytimg.com/vi/_I6CtY7YbIM/hqdefault.jpg,https://www.youtube.com/watch?v=_I6CtY7YbIM
32,The School of UX,Abstract: The Art of Design (Season 1),https://i.ytimg.com/vi/q_k8fVNzbGU/hqdefault.jpg,https://www.youtube.com/results?search_query=PLuctemCzX-m4svPpBctWUp0oG__Lhglq9
33,Abstract,Abstract - Neverland (ft. Ruth B) Prod. Blulake OFFICIAL MUSIC VIDEO,https://i.ytimg.com/vi/iAW3EV0YMj8/hqdefault.jpg,https://www.youtube.com/watch?v=iAW3EV0YMj8
34,SwagyTracks,Abstract - Not Alone (feat. Roze),https://i.ytimg.com/vi/qIiivQHS7Wo/hqdefault.jpg,https://www.youtube.com/watch?v=qIiivQHS7Wo
35,Netflix,Abstract: The Art of Design | Bjarke Ingels: Architecture | FULL EPISODE | Netflix,https://i.ytimg.com/vi/rKeFCd1j5BE/hqdefault.jpg,https://www.youtube.com/watch?v=rKeFCd1j5BE
36,Netflix,Abstract: The Art of Design | Platon: Photography | FULL EPISODE | Netflix,https://i.ytimg.com/vi/BDpqt-haLLM/hqdefault.jpg,https://www.youtube.com/watch?v=BDpqt-haLLM
37,SwagyTracks,Abstract - Shades (Prod. Drumma Battalion),https://i.ytimg.com/vi/OOzd80iujk0/hqdefault.jpg,https://www.youtube.com/watch?v=OOzd80iujk0
38,Arte brigade,BOLD &amp; BEAUTIFUL ABSTRACT ART🤩 |abstract art |Texture art|Acrylic painting |Beginner level demo,https://i.ytimg.com/vi/EuXbxlc6Y3A/hqdefault.jpg,https://www.youtube.com/watch?v=EuXbxlc6Y3A
39,Abstract,Abstract - Moon 52 Freestyle (Prod. Dio Mudara),https://i.ytimg.com/vi/iu6tuNnneKk/hqdefault.jpg,https://www.youtube.com/watch?v=iu6tuNnneKk
40,SurajFineArts - Abstract ART,Abstract Flower Painting  / Easy Technique For Beginners / Satisfying / Project 100 Days / Day #76,https://i.ytimg.com/vi/ckQSPibij2g/hqdefault.jpg,https://www.youtube.com/watch?v=ckQSPibij2g
41,SwagyTracks,Abstract - Darkest Places (ft. Jonny Koch &amp; Aspen Dawn),https://i.ytimg.com/vi/-dHkBo174ac/hqdefault.jpg,https://www.youtube.com/watch?v=-dHkBo174ac
42,Netflix,Abstract: The Art of Design | Ilse Crawford: Interior Design | FULL EPISODE | Netflix,https://i.ytimg.com/vi/5f7fHHEr_NA/hqdefault.jpg,https://www.youtube.com/watch?v=5f7fHHEr_NA
43,Abstract,Abstract,https://yt3.ggpht.com/-0rQ95rBy7ng/AAAAAAAAAAI/AAAAAAAAAAA/rbpgCpvIUGs/s800-c-k-no-mo-rj-c0xffffff/photo.jpg,https://www.youtube.com/channel/UCM0JrsmF-LDfA8qkpYTYbsg
44,Ms. Leonalyn Tayone [Solving Math the easiest way],10-item Abstract Reasoning Test,https://i.ytimg.com/vi/USBha7DFElg/hqdefault.jpg,https://www.youtube.com/watch?v=USBha7DFElg
45,5-Minute Crafts,37 MESMERIZING ABSTRACT ART TECHNIQUES,https://i.ytimg.com/vi/MYaOq9Lqk6Y/hqdefault.jpg,https://www.youtube.com/watch?v=MYaOq9Lqk6Y
46,Abstract,Abstract &amp; Blulake - Vampire,https://i.ytimg.com/vi/0o9uP69jc2A/hqdefault.jpg,https://www.youtube.com/watch?v=0o9uP69jc2A
47,Wandering Underground,Abstract - Last Laugh (ft. RoZe) (Prod. Dio Mudara) | (Kintsugi - 2020),https://i.ytimg.com/vi/iISKXPjWUb4/hqdefault.jpg,https://www.youtube.com/watch?v=iISKXPjWUb4
48,Abstract,Abstract - Inside Out (Official Music Video),https://i.ytimg.com/vi/MGtpzImHfRY/hqdefault.jpg,https://www.youtube.com/watch?v=MGtpzImHfRY
49,Gail Burstyn Life In Splatters,Floating Cup.. shmears.. Using Colourarte and Pearl Ex pigments..acrylic pour..abstract art// asmr,https://i.ytimg.com/vi/SFPdeQYJCyQ/hqdefault.jpg,https://www.youtube.com/watch?v=SFPdeQYJCyQ
